codigo,denominacion,cuit,cond_fiscal,limite_cta_cte,telefono,email,direccion
C1080,Taller Mecánico Benítez,20-27815146-9,MONOTRIBUTO,800000,,,"Rioja 2953, Villa Gobernador Gálvez"
C1081,Lubricentro del Centro,23-13653175-1,MONOTRIBUTO,200000,0341-4012847,,"Salta 1044, San Nicolás"
C1082,Rectificadora Rosario,33-40815240-8,RESPONSABLE_INSCRIPTO,1000000,0341-156485865,compras@rectificador.com.ar,"Córdoba 4085, Rosario"
C1083,Taller Mecánico Vega,27-74714294-2,MONOTRIBUTO,400000,0341-4385356,tallermecnicov@gmail.com,
C1084,Gomería Vega,27-95881282-0,MONOTRIBUTO,300000,0341-155532864,gomeravega@gmail.com,"San Juan 2468, Pergamino"
C1085,Rectificadora Casilda,30-14396384-1,RESPONSABLE_INSCRIPTO,1500000,0341-4730411,,"Santa Fe 1829, Roldán"
C1086,Taller Mecánico Acosta,23-85866168-4,MONOTRIBUTO,300000,0341-154683795,tallermecnicoa@gmail.com,"Salta 4520, San Nicolás"
C1087,Rectificadora Villa Constitución,30-90701968-9,RESPONSABLE_INSCRIPTO,1500000,0341-153622350,,"Bv. Oroño 2825, San Lorenzo"
C1088,Casa Ponce Automotores SRL,33-17904892-8,RESPONSABLE_INSCRIPTO,2000000,,compras@casaponceaut.com.ar,"Salta 1686, Cañada de Gómez"
C1089,Distribuidora Vega SRL,33-65740263-5,RESPONSABLE_INSCRIPTO,5000000,0341-4492715,,"Av. Alberdi 4799, Casilda"
C1090,Sánchez Miguel,27-50909321-6,MONOTRIBUTO,400000,,,"Bv. Oroño 2064, San Lorenzo"
C1091,Gomería Aguirre,27-15140352-8,MONOTRIBUTO,300000,0341-153058600,gomeraaguirre@gmail.com,"Santa Fe 1136, San Lorenzo"
C1092,Agropecuaria San Lorenzo SA,30-55367089-2,RESPONSABLE_INSCRIPTO,2000000,0341-4694903,,"Av. Pellegrini 3004, Casilda"
C1093,Taller Mecánico Ruiz,23-23729948-5,MONOTRIBUTO,300000,0341-155669662,tallermecnicor@gmail.com,
C1094,Rectificadora Oeste,33-34550018-4,RESPONSABLE_INSCRIPTO,2000000,0341-4064881,compras@rectificador.com.ar,
C1095,Rectificadora Roldán,33-92239298-1,RESPONSABLE_INSCRIPTO,5000000,0341-154795320,compras@rectificador.com.ar,"Av. Pellegrini 3755, Rosario"
C1096,Castro María,,CONSUMIDOR_FINAL,0,0341-4042400,,"Bv. Oroño 3130, Roldán"
C1097,Torres Laura,,CONSUMIDOR_FINAL,0,,,"Santa Fe 2777, Roldán"
C1098,Taller Álvarez Hnos,20-54088391-3,MONOTRIBUTO,300000,0341-154423481,,"Santa Fe 3198, Pergamino"
C1099,Núñez Cristian,20-44942857-9,MONOTRIBUTO,200000,,nezcristian@gmail.com,"Rioja 4180, Rosario"
C1100,Taller Mecánico Cabrera,27-87485453-6,MONOTRIBUTO,300000,0341-4220849,,"San Juan 794, Pergamino"
C1101,Transporte Ríos SA,33-92815712-7,RESPONSABLE_INSCRIPTO,2000000,0341-4446127,compras@transportero.com.ar,"Córdoba 2144, Funes"
C1102,Distribuidora Martínez SRL,30-90095849-4,RESPONSABLE_INSCRIPTO,1000000,0341-4580020,compras@distribuidor.com.ar,"Santa Fe 1379, Cañada de Gómez"
C1103,Rectificadora Villa Constitución,33-34552371-0,RESPONSABLE_INSCRIPTO,5000000,,,"27 de Febrero 366, Pérez"
C1104,Transporte Giménez SA,30-72149289-9,RESPONSABLE_INSCRIPTO,5000000,0341-153767660,compras@transportegi.com.ar,"Av. Alberdi 3371, Pérez"
C1105,Casa Ortiz Automotores SRL,33-77959679-1,RESPONSABLE_INSCRIPTO,3000000,0341-154079410,,"Av. Pellegrini 1081, San Nicolás"
C1106,Ponce Diego,,CONSUMIDOR_FINAL,0,0341-4525051,,"Av. Pellegrini 117, Villa Gobernador Gálvez"
C1107,Taller Mecánico Rojas,20-11719355-2,MONOTRIBUTO,400000,0341-4634496,tallermecnicor@gmail.com,"Bv. Oroño 1211, Pergamino"
C1108,Benítez Gabriel,,CONSUMIDOR_FINAL,0,0341-4454931,,"Av. San Martín 4133, San Nicolás"
C1109,Gomería Villalba,23-45966688-5,MONOTRIBUTO,500000,0341-155790732,,
C1110,Lubricentro Pergamino,27-59572759-1,MONOTRIBUTO,500000,0341-153433285,,"Tucumán 564, Villa Gobernador Gálvez"
C1111,Casa Flores Automotores SRL,33-94873842-8,RESPONSABLE_INSCRIPTO,3000000,0341-4501732,compras@casafloresau.com.ar,
C1112,Logística Maidana SA,33-85583424-9,RESPONSABLE_INSCRIPTO,1000000,0341-4380344,compras@logsticamaid.com.ar,"Av. Provincias Unidas 3221, Rosario"
C1113,Ferreyra Luis,,CONSUMIDOR_FINAL,0,,,"San Juan 534, Cañada de Gómez"
C1114,Romero Diego,,CONSUMIDOR_FINAL,0,0341-153718469,,
C1115,Gomería Núñez,23-21867334-1,MONOTRIBUTO,800000,0341-156751324,gomeranez@gmail.com,"Santa Fe 2515, Rosario"
C1116,Gomería Silva,27-10504535-8,MONOTRIBUTO,400000,0341-154322859,,"Mendoza 118, Villa Gobernador Gálvez"
C1117,Medina Fernando,,CONSUMIDOR_FINAL,0,0341-4213113,,
C1118,Casa Rodríguez Automotores SRL,33-40205551-6,RESPONSABLE_INSCRIPTO,5000000,0341-154923486,,"Bv. Oroño 1353, San Nicolás"
C1119,Lubricentro Pergamino,27-33303086-7,MONOTRIBUTO,400000,0341-156218241,lubricentroper@gmail.com,"Av. Alberdi 4761, Villa Gobernador Gálvez"
C1120,Transporte Peralta SA,30-26195347-8,RESPONSABLE_INSCRIPTO,1500000,0341-153318248,compras@transportepe.com.ar,"Córdoba 429, Roldán"
C1121,Gomería López,23-67482834-9,MONOTRIBUTO,500000,0341-153546161,gomeralpez@gmail.com,"Rioja 4508, Roldán"
C1122,Rectificadora del Sur,30-74915676-3,RESPONSABLE_INSCRIPTO,2000000,0341-4291985,,
C1123,Taller Martínez Hnos,20-64335897-3,MONOTRIBUTO,500000,0341-4289444,tallermartnezh@gmail.com,"Av. Francia 696, Villa Gobernador Gálvez"
C1124,Transportes del Litoral SRL,33-57124258-9,RESPONSABLE_INSCRIPTO,5000000,0341-4771962,compras@transportesd.com.ar,"Av. Pellegrini 1681, Casilda"
C1125,Medina Julio,,CONSUMIDOR_FINAL,0,0341-4732403,,"27 de Febrero 2478, San Lorenzo"
C1126,Lubricentro Casilda,20-80651108-1,MONOTRIBUTO,800000,0341-4651050,lubricentrocas@gmail.com,"San Juan 3205, Pérez"
C1127,Transportes Oeste SRL,33-17428164-0,RESPONSABLE_INSCRIPTO,1000000,,compras@transporteso.com.ar,
C1128,Rectificadora San Nicolás,30-67078520-9,RESPONSABLE_INSCRIPTO,1500000,0341-153684210,compras@rectificador.com.ar,"Córdoba 854, Rosario"
C1129,Pérez Andrés,,CONSUMIDOR_FINAL,0,0341-4100734,,"Av. Provincias Unidas 4260, Roldán"
C1130,Lubricentro Funes,27-38304965-8,MONOTRIBUTO,500000,0341-155135591,,"Mendoza 1488, Pergamino"
C1131,Acosta Susana,,CONSUMIDOR_FINAL,0,,,"Av. Alberdi 457, Pérez"
C1132,Rectificadora Cañada de Gómez,30-45168957-2,RESPONSABLE_INSCRIPTO,2000000,0341-4895409,,
C1133,Gómez Rubén,,CONSUMIDOR_FINAL,0,0341-156327035,,"Ovidio Lagos 2757, Cañada de Gómez"
C1134,Logística Ríos SA,33-35074568-3,RESPONSABLE_INSCRIPTO,2000000,0341-155625322,compras@logsticaross.com.ar,"Córdoba 1384, Casilda"
C1135,Romero Facundo,,CONSUMIDOR_FINAL,0,0341-4449010,,"Av. San Martín 836, Pergamino"
C1136,Medina Natalia,,CONSUMIDOR_FINAL,0,0341-154196888,,"Bv. Oroño 1936, Funes"
C1137,Ferreyra Verónica,,CONSUMIDOR_FINAL,0,0341-154010092,,"Mendoza 1451, Pérez"
C1138,Pérez Sandra,,CONSUMIDOR_FINAL,0,0341-156017341,,"27 de Febrero 334, Villa Gobernador Gálvez"
C1139,Taller Medina Hnos,20-73474660-7,MONOTRIBUTO,200000,0341-4535123,tallermedinahn@gmail.com,"Santa Fe 4096, Roldán"
C1140,Ruiz Carlos,,CONSUMIDOR_FINAL,0,0341-155481024,,"Bv. Oroño 2659, Pérez"
C1141,Peralta Jorge,,CONSUMIDOR_FINAL,0,0341-4751490,,
C1142,Taller Ferreyra Hnos,27-83407346-9,MONOTRIBUTO,500000,0341-156900014,tallerferreyra@gmail.com,
C1143,Pérez Martín,,CONSUMIDOR_FINAL,0,,,"Rioja 2917, Pérez"
C1144,Transporte Moreno SA,33-20514581-3,RESPONSABLE_INSCRIPTO,5000000,0341-155379560,compras@transportemo.com.ar,
C1145,Lubricentro San Nicolás,27-89569926-3,MONOTRIBUTO,300000,0341-153078379,lubricentrosan@gmail.com,"Mendoza 588, Funes"
C1146,Taller López Hnos,20-17968167-7,MONOTRIBUTO,200000,0341-153603418,tallerlpezhnos@gmail.com,"Córdoba 3477, San Nicolás"
C1147,Luna Laura,,CONSUMIDOR_FINAL,0,,,
C1148,Rectificadora Villa Constitución,33-21538867-6,RESPONSABLE_INSCRIPTO,1000000,0341-153489120,compras@rectificador.com.ar,"27 de Febrero 4724, Pergamino"
C1149,Lubricentro Cañada de Gómez,23-63560091-8,MONOTRIBUTO,200000,0341-153568721,lubricentrocaa@gmail.com,
C1150,Sosa Néstor,,CONSUMIDOR_FINAL,0,0341-4728821,,"Tucumán 212, Villa Gobernador Gálvez"
C1151,Taller Mecánico Pérez,27-57549232-6,MONOTRIBUTO,300000,0341-4023211,,"Ovidio Lagos 3688, San Lorenzo"
C1152,Taller Ortiz Hnos,27-95816634-1,MONOTRIBUTO,200000,,,"Av. Provincias Unidas 4832, Villa Gobernador Gálvez"
C1153,Vega Federico,,CONSUMIDOR_FINAL,0,0341-4082324,,"Ovidio Lagos 2393, Roldán"
C1154,Agropecuaria Norte SA,33-25762029-3,RESPONSABLE_INSCRIPTO,2000000,0341-155646479,compras@agropecuaria.com.ar,"Av. Provincias Unidas 2220, Pergamino"
C1155,Agropecuaria San Nicolás SA,30-85105334-0,RESPONSABLE_INSCRIPTO,5000000,0341-153192169,compras@agropecuaria.com.ar,"Ovidio Lagos 523, Funes"
C1156,Maidana Sergio,20-27362465-2,MONOTRIBUTO,800000,0341-4462154,,"27 de Febrero 3758, Villa Gobernador Gálvez"
C1157,Rectificadora Oeste,30-21323632-2,RESPONSABLE_INSCRIPTO,5000000,0341-4053384,compras@rectificador.com.ar,"San Juan 670, Pergamino"
C1158,Gomería Medina,27-39823646-2,MONOTRIBUTO,500000,0341-153175944,gomeramedina@gmail.com,
C1159,Distribuidora Sosa SRL,33-29303536-4,RESPONSABLE_INSCRIPTO,5000000,0341-153858143,,
C1160,Logística Castro SA,33-82183892-9,RESPONSABLE_INSCRIPTO,1000000,0341-4665300,compras@logsticacast.com.ar,"Santa Fe 3122, Rosario"
C1161,Maidana Rubén,,CONSUMIDOR_FINAL,0,0341-155202623,,"27 de Febrero 2960, San Lorenzo"
C1162,Aguirre Daniel,,CONSUMIDOR_FINAL,0,,,"Av. San Martín 284, Pérez"
C1163,Lubricentro Funes,23-97640394-0,MONOTRIBUTO,800000,0341-4449239,lubricentrofun@gmail.com,"Rioja 755, San Lorenzo"
C1164,Godoy Cecilia,,CONSUMIDOR_FINAL,0,0341-4800758,,"Av. Francia 812, Villa Gobernador Gálvez"
C1165,Taller Peralta Hnos,23-72439116-8,MONOTRIBUTO,800000,,tallerperaltah@gmail.com,"Salta 3737, Villa Gobernador Gálvez"
C1166,Pérez Juan,,CONSUMIDOR_FINAL,0,0341-153560446,,
C1167,Pérez Claudio,,CONSUMIDOR_FINAL,0,0341-4731558,,"Ovidio Lagos 1480, Pergamino"
C1168,López Claudio,,CONSUMIDOR_FINAL,0,0341-155579115,,"Santa Fe 3275, San Lorenzo"
C1169,Ríos Sandra,,CONSUMIDOR_FINAL,0,0341-156431328,,"Tucumán 2600, Roldán"
C1170,Taller Molina Hnos,27-94814343-2,MONOTRIBUTO,800000,0341-4592993,,"Santa Fe 3117, Rosario"
C1171,Lubricentro Cañada de Gómez,27-48630140-1,MONOTRIBUTO,500000,,lubricentrocaa@gmail.com,"Av. Alberdi 1702, Casilda"
C1172,Transporte Ríos SA,33-60004961-0,RESPONSABLE_INSCRIPTO,3000000,0341-4661171,compras@transportero.com.ar,
C1173,Acosta Mario,,CONSUMIDOR_FINAL,0,0341-4702711,,
C1174,Agropecuaria Cañada de Gómez SA,33-14948207-0,RESPONSABLE_INSCRIPTO,5000000,0341-155589450,compras@agropecuaria.com.ar,"Córdoba 3311, Cañada de Gómez"
C1175,Gomería Acosta,23-84989802-7,MONOTRIBUTO,400000,0341-153216658,,"Bv. Oroño 1462, Casilda"
C1176,Taller Mecánico Ponce,20-68039024-0,MONOTRIBUTO,400000,,tallermecnicop@gmail.com,"Av. Francia 4340, Cañada de Gómez"
C1177,Transportes del Centro SRL,30-27096158-0,RESPONSABLE_INSCRIPTO,5000000,0341-156004969,,"Av. San Martín 1058, Pérez"
C1178,Gomería Torres,27-70064436-2,MONOTRIBUTO,300000,0341-153421376,,"Ovidio Lagos 4226, San Nicolás"
C1179,Domínguez Ana,,CONSUMIDOR_FINAL,0,0341-4714156,,"Av. Pellegrini 1429, Funes"
C1180,Pérez Andrés,,CONSUMIDOR_FINAL,0,0341-154963889,,"Bv. Oroño 3257, Casilda"
C1181,Taller Acosta Hnos,20-70741720-0,MONOTRIBUTO,300000,0341-4888434,,"Av. Alberdi 3092, Funes"
C1182,Casa Medina Automotores SRL,30-30997063-9,RESPONSABLE_INSCRIPTO,1000000,0341-156022127,compras@casamedinaau.com.ar,"Santa Fe 4453, Pérez"
C1183,Transportes del Centro SRL,33-60437766-3,RESPONSABLE_INSCRIPTO,3000000,0341-153333036,compras@transportesd.com.ar,"Salta 1040, Casilda"
C1184,Domínguez Lucas,,CONSUMIDOR_FINAL,0,0341-4225737,,"Tucumán 2824, Roldán"
C1185,Ramírez Patricia,23-45941048-1,MONOTRIBUTO,200000,0341-155216935,ramrezpatricia@gmail.com,"Av. Francia 2706, Funes"
C1186,Gomería Giménez,27-84066596-3,MONOTRIBUTO,300000,0341-155692071,,
C1187,Gomería Ponce,23-68049719-2,MONOTRIBUTO,800000,0341-155342708,gomeraponce@gmail.com,"Santa Fe 2312, Rosario"
C1188,Romero Gabriela,23-92577448-0,MONOTRIBUTO,200000,0341-154545499,romerogabriela@gmail.com,"Ovidio Lagos 2167, Rosario"
C1189,Transportes San Nicolás SRL,30-84700535-8,RESPONSABLE_INSCRIPTO,3000000,0341-4679918,,
C1190,Silva Carlos,,CONSUMIDOR_FINAL,0,0341-4470856,,
C1191,Casa Benítez Automotores SRL,33-65833129-4,RESPONSABLE_INSCRIPTO,2000000,0341-155627013,compras@casabentezau.com.ar,"Córdoba 3164, Villa Gobernador Gálvez"
C1192,Ferreyra Néstor,,CONSUMIDOR_FINAL,0,0341-153602467,,"Av. Alberdi 3240, Pérez"
C1193,Casa Luna Automotores SRL,30-89669822-9,RESPONSABLE_INSCRIPTO,1500000,0341-4509471,compras@casalunaauto.com.ar,"Rioja 3856, Cañada de Gómez"
C1194,Gomería Núñez,27-93314086-0,MONOTRIBUTO,400000,0341-4255238,,
C1195,Lubricentro del Sur,23-73712628-5,MONOTRIBUTO,200000,0341-4499281,lubricentrodel@gmail.com,"Av. Provincias Unidas 1981, Casilda"
C1196,Casa Ponce Automotores SRL,33-43239452-8,RESPONSABLE_INSCRIPTO,5000000,0341-4289966,compras@casaponceaut.com.ar,"Córdoba 2950, Rosario"
C1197,López Rubén,,CONSUMIDOR_FINAL,0,0341-153465573,,"Santa Fe 1855, Cañada de Gómez"
C1198,Transportes Cañada de Gómez SRL,33-60841312-5,RESPONSABLE_INSCRIPTO,3000000,0341-4314751,compras@transportesc.com.ar,"Av. San Martín 3053, San Lorenzo"
C1199,Silva Héctor,,CONSUMIDOR_FINAL,0,0341-156841706,,"Av. Pellegrini 3755, Pérez"
C1200,Transporte Ríos SA,30-99689689-3,RESPONSABLE_INSCRIPTO,2000000,0341-4459949,compras@transportero.com.ar,"Salta 2001, Pérez"
